Date,High_Vol_Days
2007/1/31,0
2007/2/28,1
2007/3/30,3
2007/4/30,3
2007/5/31,1
2007/6/29,5
2007/7/31,7
2007/8/31,12
2007/9/28,4
2007/10/31,2
2007/11/30,10
2007/12/31,7
2008/1/31,13
2008/2/29,7
2008/3/31,9
2008/4/30,4
2008/5/30,6
2008/6/30,8
2008/7/31,12
2008/8/29,10
2008/9/30,15
2008/10/31,20
2008/11/28,16
2008/12/31,14
2009/1/30,11
2009/2/27,14
2009/3/31,17
2009/4/30,12
2009/5/29,12
2009/6/30,6
2009/7/31,7
2009/8/31,6
2009/9/30,4
2009/10/30,10
2009/11/30,5
2009/12/31,4
2010/1/29,6
2010/2/26,7
2010/3/31,1
2010/4/30,4
2010/5/28,14
2010/6/30,10
2010/7/30,6
2010/8/31,7
2010/9/30,5
2010/10/29,3
2010/11/30,5
2010/12/31,1
2011/1/31,1
2011/2/28,2
2011/3/31,8
2011/4/29,2
2011/5/31,4
2011/6/30,6
2011/7/29,5
2011/8/31,15
2011/9/30,14
2011/10/31,13
2011/11/30,11
2011/12/30,8
2012/1/31,1
2012/2/29,1
2012/3/30,3
2012/4/30,5
2012/5/31,5
2012/6/29,8
2012/7/31,3
2012/8/31,1
2012/9/28,2
2012/10/31,2
2012/11/30,7
2012/12/31,2
2013/1/31,1
2013/2/28,3
2013/3/28,0
2013/4/30,3
2013/5/31,1
2013/6/28,6
2013/7/31,1
2013/8/30,2
2013/9/30,1
2013/10/31,3
2013/11/29,1
2013/12/31,2
2014/1/31,4
2014/2/28,4
2014/3/31,3
2014/4/30,3
2014/5/30,1
2014/6/30,0
2014/7/31,1
2014/8/29,2
2014/9/30,1
2014/10/31,13
2014/11/28,0
2014/12/31,4
2015/1/30,10
2015/2/27,3
2015/3/31,8
2015/4/30,3
2015/5/29,4
2015/6/30,2
2015/7/31,5
2015/8/31,8
2015/9/30,10
2015/10/30,5
2015/11/30,5
2015/12/31,9
2016/1/29,13
2016/2/29,11
2016/3/31,2
2016/4/29,2
2016/5/31,5
2016/6/30,6
2016/7/29,1
2016/8/31,1
2016/9/30,4
2016/10/31,1
2016/11/30,3
2016/12/30,1
2017/1/31,0
2017/2/28,0
2017/3/31,2
2017/4/28,2
2017/5/31,1
2017/6/30,0
2017/7/31,0
2017/8/31,1
2017/9/29,2
2017/10/31,0
2017/11/30,2
2017/12/29,0
2018/1/31,2
2018/2/28,13
2018/3/29,10
