age	survival	sex	status
13	1	1	Family
1	1	0	Family
5	1	1	Family
14	1	1	Family
40	1	0	Family
51	1	1	Family
9	1	1	Family
3	1	1	Family
8	1	1	Family
13	1	0	Family
3	1	0	Family
45	0	0	Family
6	1	0	Family
61	0	1	Family
9	1	1	Family
4	1	0	Family
5	0	1	Family
56	0	1	Family
11	1	0	Family
3	0	1	Family
7	1	0	Family
4	0	1	Family
44	0	0	Family
25	0	0	Family
3	0	1	Family
1	0	0	Family
28	1	1	Family
28	0	1	Hired
23	0	1	Family
21	1	0	Family
1	0	1	Family
19	1	0	Family
30	1	1	Family
14	1	0	Family
45	0	0	Family
1	1	0	Family
57	0	1	Family
5	0	1	Family
7	1	1	Family
12	1	0	Family
19	1	0	Family
9	1	0	Family
17	1	1	Family
60	0	1	Hired
27	1	1	Hired
14	1	1	Hired
12	0	1	Hired
16	1	1	Hired
3	0	0	Family
23	1	0	Family
32	1	1	Family
1	0	1	Family
70	0	0	Family
25	1	0	Family
1	0	0	Family
30	1	1	Family
30	1	1	Hired
16	0	1	Family
12	0	1	Family
36	0	0	Family
14	1	0	Family
8	1	1	Family
10	1	1	Family
1	0	0	Family
18	1	0	Family
2	1	0	Family
25	0	1	Family
45	1	1	Family
6	1	1	Family
32	1	0	Family
9	1	0	Family
4	1	1	Family
13	1	0	Family
20	1	0	Family
30	0	1	Hired
30	0	1	Hired
25	0	1	Hired
25	0	1	Hired
25	0	1	Hired
16	1	1	Hired
25	0	1	Hired
31	1	0	Hired
23	0	1	Hired
35	0	1	Single
25	0	1	Single
30	0	1	Single
30	0	1	Single
35	0	1	Single
